timestamp,scenario_id,repeat_id,algorithm,n_nodes,n_edges,source,target,w_delay,w_rel,w_res,path_length,total_delay,rel_cost,res_cost,total_cost
2025-12-03T18:03:20,1,1,Basit,250,12375,71,190,0.5,0.3,0.2,3,10.096552713296038,0.09439065659751476,2.8606662380675685,5.648726801240787
2025-12-03T18:03:21,1,1,Q-Learning,250,12375,71,190,0.5,0.3,0.2,3,12.37694611414412,0.06890334953505997,3.7820726077648863,6.965558583485556
2025-12-03T18:03:21,1,1,SARSA,250,12375,71,190,0.5,0.3,0.2,3,22.228618353848415,0.08606361915532054,3.038670095120829,11.74786228169497
2025-12-03T18:03:21,1,2,Basit,250,12375,147,189,0.5,0.3,0.2,3,11.757675037556227,0.1724461336400873,2.139324212205479,6.358436201311235
2025-12-03T18:03:22,1,2,Q-Learning,250,12375,147,189,0.5,0.3,0.2,3,15.40332938032094,0.13725701932529494,4.659466539696305,8.67473510389732
2025-12-03T18:03:23,1,2,SARSA,250,12375,147,189,0.5,0.3,0.2,3,21.87956868408389,0.16860260325748858,13.126746716086458,13.615714466236483
2025-12-03T18:03:23,1,3,Basit,250,12375,215,234,0.5,0.3,0.2,3,8.3923391542202,0.09419371222499057,2.7792039955441687,4.780268489886431
2025-12-03T18:03:24,1,3,Q-Learning,250,12375,215,234,0.5,0.3,0.2,3,12.203506588694003,0.10119730054162474,8.302212456185766,7.792554975746642
2025-12-03T18:03:24,1,3,SARSA,250,12375,215,234,0.5,0.3,0.2,4,24.445086520107335,0.20015912468248642,8.766733284662532,14.03593765439092
2025-12-03T18:03:24,1,4,Basit,250,12375,142,234,0.5,0.3,0.2,3,8.910289116936625,0.0870103577509084,3.176121116729112,5.116471889139407
2025-12-03T18:03:25,1,4,Q-Learning,250,12375,142,234,0.5,0.3,0.2,4,21.774378349471075,0.21542979499333653,11.559353415191303,13.263688796271799
2025-12-03T18:03:26,1,4,SARSA,250,12375,142,234,0.5,0.3,0.2,3,13.217617759218472,0.13754817796830507,3.571997225252315,7.364472778050191
2025-12-03T18:03:26,1,5,Basit,250,12375,31,231,0.5,0.3,0.2,3,9.927167864237742,0.1205533591446544,3.1283458463863845,5.6254191091395445
2025-12-03T18:03:27,1,5,Q-Learning,250,12375,31,231,0.5,0.3,0.2,5,21.572385533215012,0.267094611303476,6.727780005777691,12.211877151154088
2025-12-03T18:03:27,1,5,SARSA,250,12375,31,231,0.5,0.3,0.2,4,19.93270910462618,0.22230797022425614,5.248298019462462,11.082706547272858
2025-12-03T18:03:27,2,1,Basit,250,12445,18,21,0.5,0.3,0.2,3,11.30407433655136,0.11702944084552273,4.127533086047338,6.512652617738804
2025-12-03T18:03:28,2,1,Q-Learning,250,12445,18,21,0.5,0.3,0.2,3,21.95472478391187,0.12577775866601196,3.672534813404642,11.749602682236668
2025-12-03T18:03:28,2,1,SARSA,250,12445,18,21,0.5,0.3,0.2,4,20.20309820237743,0.20965152511606142,14.903338536976516,13.145112266118836
2025-12-03T18:03:28,2,2,Basit,250,12445,37,206,0.5,0.3,0.2,3,11.728051192536645,0.10982791702571948,5.17732509477979,6.932438990331996
2025-12-03T18:03:29,2,2,Q-Learning,250,12445,37,206,0.5,0.3,0.2,3,18.55614250389549,0.12792990599762866,3.1923061386989353,9.95491145148682
2025-12-03T18:03:30,2,2,SARSA,250,12445,37,206,0.5,0.3,0.2,3,16.486586894067255,0.14460813908365164,2.84362610014857,8.855401108788437
2025-12-03T18:03:30,2,3,Basit,250,12445,89,215,0.5,0.3,0.2,2,5.7413399335286375,0.08161184207336497,4.3019248901777365,3.7555384974218757
2025-12-03T18:03:31,2,3,Q-Learning,250,12445,89,215,0.5,0.3,0.2,2,5.7413399335286375,0.08161184207336497,4.3019248901777365,3.7555384974218757
2025-12-03T18:03:31,2,3,SARSA,250,12445,89,215,0.5,0.3,0.2,2,5.7413399335286375,0.08161184207336497,4.3019248901777365,3.7555384974218757
2025-12-03T18:03:31,2,4,Basit,250,12445,113,55,0.5,0.3,0.2,2,9.31363617937133,0.07442229431811885,4.8377339609867205,5.646691570178444
2025-12-03T18:03:32,2,4,Q-Learning,250,12445,113,55,0.5,0.3,0.2,3,13.137517852715035,0.11576461032159657,4.054658471537026,7.414420003761402
2025-12-03T18:03:32,2,4,SARSA,250,12445,113,55,0.5,0.3,0.2,2,9.31363617937133,0.07442229431811885,4.8377339609867205,5.646691570178444
2025-12-03T18:03:32,2,5,Basit,250,12445,77,210,0.5,0.3,0.2,3,9.814996682396103,0.1995643676524267,2.444805287816842,5.456328709057147
2025-12-03T18:03:33,2,5,Q-Learning,250,12445,77,210,0.5,0.3,0.2,4,28.081545749834767,0.21704058934629866,3.4951906541352233,14.804923182548318
2025-12-03T18:03:33,2,5,SARSA,250,12445,77,210,0.5,0.3,0.2,3,14.826685731671562,0.1320691788527218,4.038073688523516,8.2605783571963
2025-12-03T18:03:33,3,1,Basit,250,12442,135,17,0.5,0.3,0.2,2,9.518255774175524,0.07438085392832848,2.6175283083761993,5.3049478049415
2025-12-03T18:03:34,3,1,Q-Learning,250,12442,135,17,0.5,0.3,0.2,2,9.518255774175524,0.07438085392832848,2.6175283083761993,5.3049478049415
2025-12-03T18:03:34,3,1,SARSA,250,12442,135,17,0.5,0.3,0.2,2,9.518255774175524,0.07438085392832848,2.6175283083761993,5.3049478049415
2025-12-03T18:03:34,3,2,Basit,250,12442,141,68,0.5,0.3,0.2,3,9.121661432745405,0.09658789065082365,7.880052153876259,6.1658175143432015
